tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
100000,cust_1000,True,Sun Mar 01 09:00:00 +0000 2026,"@AmazonHelp package for 786579303 says delivered but nothing on my porch, been 3 days now",100001,
100001,AmazonHelp,False,Sun Mar 01 09:07:00 +0000 2026,We're sorry for the delay! Please send us your order number and delivery zip via DM so we can look into the carrier status right away. ^KL,,100000
100002,cust_1001,True,Sun Mar 01 09:14:00 +0000 2026,"@AmazonHelp quick q - has 890779946 shipped yet? this is the last straw, get me a manager",100003,
100003,AmazonHelp,False,Sun Mar 01 09:21:00 +0000 2026,Happy to check that for you! Please DM your order number and we'll pull up the latest tracking status. ^KL,,100002
100004,cust_1002,True,Sun Mar 01 09:28:00 +0000 2026,"@AmazonHelp return label for 349817734 isn't working, can you resend",100005,
100005,AmazonHelp,False,Sun Mar 01 09:35:00 +0000 2026,We can help with that -- DM us the order # so we can process the refund or resend your return label. ^KL,,100004
100006,cust_1003,True,Sun Mar 01 09:42:00 +0000 2026,"@AmazonHelp box for 969119330 was empty when i opened it, no product inside",100007,
100007,AmazonHelp,False,Sun Mar 01 09:49:00 +0000 2026,So sorry to hear that! Please DM your order number and a photo if possible -- we'll get a replacement or refund started right away. ^AR,,100006
100008,cust_1004,True,Sun Mar 01 09:56:00 +0000 2026,"@AmazonHelp someone else's orders are showing up in my account, is my account hacked? i want to speak to a real human right now",100009,
100009,AmazonHelp,False,Sun Mar 01 10:03:00 +0000 2026,We take account security seriously -- please DM us so we can verify a few details and restore access safely. ^AR,,100008
100010,cust_1005,True,Sun Mar 01 10:10:00 +0000 2026,"@AmazonHelp charged twice for order 966647391, please refund the duplicate immediately",100011,
100011,AmazonHelp,False,Sun Mar 01 10:17:00 +0000 2026,We'll get this sorted -- DM us the order/transaction details so our billing team can review the duplicate charge. ^KL,,100010
100012,cust_1006,True,Sun Mar 01 10:24:00 +0000 2026,"@AmazonHelp not happy with how support handled my last ticket, felt dismissed",100013,
100013,AmazonHelp,False,Sun Mar 01 10:31:00 +0000 2026,"Thank you so much for the kind words, we'll pass it along to the team! 😊 ^AR",,100012
100014,cust_1007,True,Sun Mar 01 10:38:00 +0000 2026,"@AmazonHelp tracking hasn't updated in 5 days for order 810026086, is it lost??",100015,
100015,AmazonHelp,False,Sun Mar 01 10:45:00 +0000 2026,That's not the experience we want for you. Can you DM us the order # so we can check with the carrier and get this resolved? ^AR,,100014
100016,cust_1008,True,Sun Mar 01 10:52:00 +0000 2026,@AmazonHelp is order 398471886 still on track for the delivery date shown?,100017,
100017,AmazonHelp,False,Sun Mar 01 10:59:00 +0000 2026,Sure thing -- send us the order number via DM and we'll confirm the current ship status. ^AR,,100016
100018,cust_1009,True,Sun Mar 01 11:06:00 +0000 2026,"@AmazonHelp how do i return 853573823, wrong size and box is unopened",100019,
100019,AmazonHelp,False,Sun Mar 01 11:13:00 +0000 2026,Sorry for the trouble! Please DM your order number and we'll check the refund status / send a fresh return label. ^MJ,,100018
100020,cust_1010,True,Sun Mar 01 11:20:00 +0000 2026,"@AmazonHelp got the wrong item for order 275452091, ordered a charger got headphones",100021,
